n,lambda,mu,N
0,(),(),1
1,1,(),1
1,1,1,1
2,2,(),2
2,2,1,2
2,2,2,1
2,11,1,1
2,11,11,1
3,3,(),3
3,3,1,4
3,3,11,1
3,3,2,2
3,3,3,1
3,21,(),1
3,21,1,3
3,21,11,2
3,21,2,2
3,21,21,1
3,111,11,1
3,111,111,1
4,4,(),5
4,4,1,7
4,4,11,2
4,4,2,5
4,4,21,1
4,4,3,2
4,4,4,1
4,31,(),2
4,31,1,7
4,31,11,6
4,31,2,5
4,31,111,1
4,31,21,3
4,31,3,2
4,31,31,1
4,22,(),2
4,22,1,3
4,22,11,1
4,22,2,4
4,22,21,2
4,22,3,1
4,22,22,1
4,211,1,1
4,211,11,3
4,211,2,1
4,211,111,2
4,211,21,2
4,211,211,1
4,1111,111,1
4,1111,1111,1
5,5,(),7
5,5,1,12
5,5,11,5
5,5,2,9
5,5,21,3
5,5,3,5
5,5,31,1
5,5,4,2
5,5,5,1
5,41,(),5
5,41,1,14
5,41,11,12
5,41,2,13
5,41,111,3
5,41,21,9
5,41,3,6
5,41,211,1
5,41,22,1
5,41,31,3
5,41,4,2
5,41,41,1
5,32,(),4
5,32,1,10
5,32,11,8
5,32,2,11
5,32,111,2
5,32,21,8
5,32,3,6
5,32,211,1
5,32,22,2
5,32,31,3
5,32,4,1
5,32,32,1
5,311,1,3
5,311,11,8
5,311,2,4
5,311,111,6
5,311,21,7
5,311,3,1
5,311,1111,1
5,311,211,3
5,311,22,1
5,311,31,2
5,311,311,1
5,221,(),1
5,221,1,3
5,221,11,3
5,221,2,4
5,221,111,1
5,221,21,5
5,221,3,2
5,221,211,2
5,221,22,2
5,221,31,1
5,221,221,1
5,2111,11,1
5,2111,111,3
5,2111,21,1
5,2111,1111,2
5,2111,211,2
5,2111,2111,1
5,11111,1111,1
5,11111,11111,1
6,6,(),11
6,6,1,19
6,6,11,9
6,6,2,17
6,6,111,1
6,6,21,7
6,6,3,10
6,6,22,1
6,6,31,3
6,6,4,5
6,6,41,1
6,6,5,2
6,6,6,1
6,51,(),8
6,51,1,26
6,51,11,25
6,51,2,26
6,51,111,7
6,51,21,22
6,51,3,15
6,51,211,4
6,51,22,3
6,51,31,10
6,51,4,6
6,51,311,1
6,51,32,1
6,51,41,3
6,51,5,2
6,51,51,1
6,42,(),10
6,42,1,24
6,42,11,20
6,42,2,30
6,42,111,7
6,42,21,25
6,42,3,18
6,42,1111,1
6,42,211,5
6,42,22,8
6,42,31,11
6,42,4,7
6,42,221,1
6,42,311,1
6,42,32,3
6,42,41,3
6,42,5,1
6,42,42,1
6,411,(),1
6,411,1,8
6,411,11,18
6,411,2,11
6,411,111,14
6,411,21,19
6,411,3,6
6,411,1111,3
6,411,211,10
6,411,22,4
6,411,31,8
6,411,4,1
6,411,2111,1
6,411,221,1
6,411,311,3
6,411,32,1
6,411,41,2
6,411,411,1
6,33,(),2
6,33,1,9
6,33,11,12
6,33,2,9
6,33,111,5
6,33,21,10
6,33,3,8
6,33,211,3
6,33,22,1
6,33,31,7
6,33,4,2
6,33,311,1
6,33,32,2
6,33,41,1
6,33,33,1
6,321,(),2
6,321,1,10
6,321,11,15
6,321,2,15
6,321,111,9
6,321,21,22
6,321,3,9
6,321,1111,2
6,321,211,10
6,321,22,8
6,321,31,10
6,321,4,2
6,321,2111,1
6,321,221,3
6,321,311,3
6,321,32,3
6,321,41,1
6,321,321,1
6,3111,11,3
6,3111,2,1
6,3111,111,8
6,3111,21,5
6,3111,1111,6
6,3111,211,7
6,3111,22,2
6,3111,31,1
6,3111,11111,1
6,3111,2111,3
6,3111,221,1
6,3111,311,2
6,3111,3111,1
6,222,(),2
6,222,1,3
6,222,11,1
6,222,2,5
6,222,21,4
6,222,3,4
6,222,211,1
6,222,22,4
6,222,31,2
6,222,4,1
6,222,221,2
6,222,32,1
6,222,222,1
6,2211,1,1
6,2211,11,3
6,2211,2,1
6,2211,111,3
6,2211,21,4
6,2211,3,1
6,2211,1111,1
6,2211,211,5
6,2211,22,1
6,2211,31,2
6,2211,2111,2
6,2211,221,2
6,2211,311,1
6,2211,2211,1
6,21111,111,1
6,21111,1111,3
6,21111,211,1
6,21111,11111,2
6,21111,2111,2
6,21111,21111,1
6,111111,11111,1
6,111111,111111,1
7,7,(),15
7,7,1,30
7,7,11,17
7,7,2,28
7,7,111,2
7,7,21,15
7,7,3,19
7,7,211,1
7,7,22,2
7,7,31,8
7,7,4,10
7,7,32,1
7,7,41,3
7,7,5,5
7,7,51,1
7,7,6,2
7,7,7,1
7,61,(),15
7,61,1,45
7,61,11,45
7,61,2,51
7,61,111,16
7,61,21,47
7,61,3,33
7,61,1111,1
7,61,211,11
7,61,22,10
7,61,31,25
7,61,4,16
7,61,221,1
7,61,311,4
7,61,32,4
7,61,41,10
7,61,5,6
7,61,411,1
7,61,42,1
7,61,51,3
7,61,6,2
7,61,61,1
7,52,(),17
7,52,1,49
7,52,11,49
7,52,2,63
7,52,111,19
7,52,21,63
7,52,3,45
7,52,1111,2
7,52,211,18
7,52,22,20
7,52,31,36
7,52,4,20
7,52,2111,1
7,52,221,4
7,52,311,6
7,52,32,11
7,52,41,12
7,52,5,7
7,52,321,1
7,52,33,1
7,52,411,1
7,52,42,3
7,52,51,3
7,52,6,1
7,52,52,1
7,511,(),2
7,511,1,17
7,511,11,37
7,511,2,26
7,511,111,30
7,511,21,46
7,511,3,16
7,511,1111,8
7,511,211,26
7,511,22,13
7,511,31,24
7,511,4,6
7,511,2111,4
7,511,221,4
7,511,311,11
7,511,32,5
7,511,41,8
7,511,5,1
7,511,3111,1
7,511,321,1
7,511,411,3
7,511,42,1
7,511,51,2
7,511,511,1
7,43,(),10
7,43,1,31
7,43,11,35
7,43,2,40
7,43,111,17
7,43,21,44
7,43,3,31
7,43,1111,3
7,43,211,15
7,43,22,13
7,43,31,28
7,43,4,15
7,43,2111,1
7,43,221,3
7,43,311,6
7,43,32,9
7,43,41,10
7,43,5,3
7,43,321,1
7,43,33,2
7,43,411,1
7,43,42,3
7,43,51,1
7,43,43,1
7,421,(),7
7,421,1,28
7,421,11,42
7,421,2,44
7,421,111,29
7,421,21,67
7,421,3,33
7,421,1111,9
7,421,211,36
7,421,22,28
7,421,31,39
7,421,4,12
7,421,11111,1
7,421,2111,6
7,421,221,13
7,421,311,14
7,421,32,14
7,421,41,11
7,421,5,2
7,421,2211,1
7,421,222,1
7,421,3111,1
7,421,321,4
7,421,33,1
7,421,411,3
7,421,42,3
7,421,51,1
7,421,421,1
7,4111,1,1
7,4111,11,9
7,4111,2,3
7,4111,111,19
7,4111,21,15
7,4111,3,2
7,4111,1111,14
7,4111,211,21
7,4111,22,6
7,4111,31,7
7,4111,11111,3
7,4111,2111,10
7,4111,221,5
7,4111,311,8
7,4111,32,2
7,4111,41,1
7,4111,21111,1
7,4111,2211,1
7,4111,3111,3
7,4111,321,1
7,4111,411,2
7,4111,4111,1
7,331,(),1
7,331,1,10
7,331,11,22
7,331,2,17
7,331,111,18
7,331,21,31
7,331,3,13
7,331,1111,5
7,331,211,18
7,331,22,11
7,331,31,21
7,331,4,5
7,331,2111,3
7,331,221,4
7,331,311,10
7,331,32,8
7,331,41,5
7,331,3111,1
7,331,321,3
7,331,33,2
7,331,411,1
7,331,42,1
7,331,331,1
7,322,(),4
7,322,1,11
7,322,11,11
7,322,2,18
7,322,111,5
7,322,21,23
7,322,3,16
7,322,1111,1
7,322,211,11
7,322,22,14
7,322,31,16
7,322,4,6
7,322,2111,2
7,322,221,8
7,322,311,4
7,322,32,9
7,322,41,3
7,322,5,1
7,322,2211,1
7,322,222,2
7,322,321,3
7,322,33,1
7,322,42,1
7,322,322,1
7,3211,1,3
7,3211,11,11
7,3211,2,7
7,3211,111,15
7,3211,21,21
7,3211,3,5
7,3211,1111,9
7,3211,211,23
7,3211,22,11
7,3211,31,12
7,3211,4,1
7,3211,11111,2
7,3211,2111,10
7,3211,221,10
7,3211,311,10
7,3211,32,4
7,3211,41,2
7,3211,21111,1
7,3211,2211,3
7,3211,222,1
7,3211,3111,3
7,3211,321,3
7,3211,411,1
7,3211,3211,1
7,31111,111,3
7,31111,21,1
7,31111,1111,8
7,31111,211,5
7,31111,22,1
7,31111,11111,6
7,31111,2111,7
7,31111,221,2
7,31111,311,1
7,31111,111111,1
7,31111,21111,3
7,31111,2211,1
7,31111,3111,2
7,31111,31111,1
7,2221,(),1
7,2221,1,3
7,2221,11,3
7,2221,2,4
7,2221,111,1
7,2221,21,6
7,2221,3,4
7,2221,211,4
7,2221,22,4
7,2221,31,5
7,2221,4,2
7,2221,2111,1
7,2221,221,5
7,2221,311,2
7,2221,32,2
7,2221,41,1
7,2221,2211,2
7,2221,222,2
7,2221,321,1
7,2221,2221,1
7,22111,11,1
7,22111,111,3
7,22111,21,1
7,22111,1111,3
7,22111,211,4
7,22111,31,1
7,22111,11111,1
7,22111,2111,5
7,22111,221,1
7,22111,311,2
7,22111,21111,2
7,22111,2211,2
7,22111,3111,1
7,22111,22111,1
7,211111,1111,1
7,211111,11111,3
7,211111,2111,1
7,211111,111111,2
7,211111,21111,2
7,211111,211111,1
7,1111111,111111,1
7,1111111,1111111,1
8,8,(),22
8,8,1,45
8,8,11,28
8,8,2,47
8,8,111,5
8,8,21,29
8,8,3,33
8,8,211,3
8,8,22,6
8,8,31,17
8,8,4,20
8,8,311,1
8,8,32,3
8,8,41,8
8,8,5,10
8,8,42,1
8,8,51,3
8,8,6,5
8,8,61,1
8,8,7,2
8,8,8,1
8,71,(),23
8,71,1,75
8,71,11,81
8,71,2,90
8,71,111,32
8,71,21,93
8,71,3,66
8,71,1111,3
8,71,211,27
8,71,22,23
8,71,31,58
8,71,4,35
8,71,2111,1
8,71,221,4
8,71,311,12
8,71,32,13
8,71,41,26
8,71,5,16
8,71,321,1
8,71,33,1
8,71,411,4
8,71,42,4
8,71,51,10
8,71,6,6
8,71,511,1
8,71,52,1
8,71,61,3
8,71,7,2
8,71,71,1
8,62,(),32
8,62,1,92
8,62,11,97
8,62,2,128
8,62,111,45
8,62,21,140
8,62,3,99
8,62,1111,8
8,62,211,48
8,62,22,52
8,62,31,91
8,62,4,53
8,62,2111,4
8,62,221,14
8,62,311,22
8,62,32,32
8,62,41,39
8,62,5,21
8,62,222,1
8,62,3111,1
8,62,321,5
8,62,33,3
8,62,411,6
8,62,42,12
8,62,51,12
8,62,6,7
8,62,421,1
8,62,43,1
8,62,511,1
8,62,52,3
8,62,61,3
8,62,7,1
8,62,62,1
8,611,(),5
8,611,1,34
8,611,11,71
8,611,2,54
8,611,111,59
8,611,21,99
8,611,3,40
8,611,1111,18
8,611,211,62
8,611,22,33
8,611,31,61
8,611,4,18
8,611,11111,1
8,611,2111,12
8,611,221,14
8,611,311,30
8,611,32,18
8,611,41,25
8,611,5,6
8,611,2211,1
8,611,3111,4
8,611,321,5
8,611,33,1
8,611,411,11
8,611,42,5
8,611,51,8
8,611,6,1
8,611,4111,1
8,611,421,1
8,611,511,3
8,611,52,1
8,611,61,2
8,611,611,1
8,53,(),20
8,53,1,73
8,53,11,93
8,53,2,100
8,53,111,48
8,53,21,127
8,53,3,86
8,53,1111,8
8,53,211,53
8,53,22,42
8,53,31,93
8,53,4,46
8,53,2111,6
8,53,221,14
8,53,311,27
8,53,32,34
8,53,41,39
8,53,5,17
8,53,2211,1
8,53,3111,1
8,53,321,7
8,53,33,8
8,53,411,7
8,53,42,12
8,53,51,11
8,53,6,3
8,53,331,1
8,53,421,1
8,53,43,3
8,53,511,1
8,53,52,3
8,53,61,1
8,53,53,1
8,521,(),14
8,521,1,62
8,521,11,102
8,521,2,104
8,521,111,77
8,521,21,172
8,521,3,87
8,521,1111,26
8,521,211,104
8,521,22,78
8,521,31,119
8,521,4,41
8,521,11111,3
8,521,2111,23
8,521,221,41
8,521,311,53
8,521,32,50
8,521,41,45
8,521,5,12
8,521,21111,1
8,521,2211,5
8,521,222,4
8,521,3111,7
8,521,321,18
8,521,33,6
8,521,411,15
8,521,42,15
8,521,51,11
8,521,6,2
8,521,3211,1
8,521,322,1
8,521,331,1
